Timestamp	What is the name of your club?	What day(s) does your club meet?	When does your club meet?	Where does your club meet?	Who is your teacher supervisor(s)?	Primary email address	Please give a brief paragraph description of your club	Link to main image for your club (optional)		Tile image
16/09/2016 11:41:01	Ridge Debate Club	Tuesdays, Thursdays	After School	Room 206	Mr. Schaffer	adduco.debate@gmail.com	Ridge Debate Club is dedicated to the discussion and debate of current economic, political, and cultural events. Come join us to discuss why Donald Trump is a thing, the rise of China as a global superpower, or how Harambe represents the Ameican dream. We debate in BP, CP, and WSDC styles; and work with the Adduco Debate Academy to attend major tournaments at McGill University, Queen's University, the University of Toronto, and even Harvard College.	https://image.freepik.com/free-icon/talk-symbol-of-speech-bubbles_318-53280.jpg		https://image.freepik.com/free-icon/talk-symbol-of-speech-bubbles_318-53280.jpg
14/09/2016 09:43:55	Ridge Med	Wednesdays	Start of Lunch	Room 303 	Mr. Merner	1rogersemm@hdsb.ca	Ridge Med is a new organization for students interested in biology and medicine. The club will simultaneously focus on fundraising and community outreach for medical-related charities while raising awareness for a variety of biological and medical concepts.	http://www.clipartbest.com/cliparts/aTe/Rpo/aTeRpoyyc.jpeg		http://www.clipartbest.com/cliparts/aTe/Rpo/aTeRpoyyc.jpeg
13/09/2016 17:35:45	Ridge Physics	Thursdays	Start of Lunch	Room 317	Alan Kirkup	1baifra@hdsb.ca	Ridge Physics is dedicated to the exploration of the nature of the universe, and the promotion of physics at the Ridge. Anyone who is interested in the natural sciences is encouraged to come and learn with us. Club activities will regularly include discussion groups, lab experiments, problem solving challenges, research seminars, workshops, and much more. We also offer study help for any current physics students and AP Physics examinees. All grades and levels of expertise are welcome, so come and do some physics!	https://lh3.googleusercontent.com/zUNCygBEdx2ZGSu_r_N_rWWnhFyemJX223jWoEJoG9RCVeTSbkYcVe5ACKngryCU6ao5izaAsnOuLuuPp-lPrh6CmeEwoXyiTFgrP3cC_JDc0WsBBHARYsJpr301WFSpznZcYlYfF3fB00sBgh_HELS6l7XlzwVeGzXEVuLUhDPX3wLxUnnKA70_iJewDgftBcsnYYMgg7hrGkGxFVcoHfN0nzPZT3WmXPGRja2dqIpUtgbBrBLAOZ6X8WceIcG7Qafe33n0jvKkisQq2JJNME0wbLt-pzZJhQ33C4x7dizXiCaFDfJJ9HIvJq74w8rWAlevzYgg4xMNw-cueAROmtKlty8FqY9PtA3rRRj0bZRPHk_GNWMvIc-x4pPZbHGPThs5KQsy3SpyP0OPpnGhf-VT9QxPyIMKX0P7Hyj88BRh0IKqwZ34i308MkHPKKj03Q-VGj2S84_nUIVC2Bl9aOA0dISxR8UwQHFiuotXzUAJD26DxLDa5vIx2IuQoO2WLZ9dkejqrMKR0RZ308e-XWtrb-6Rm3fklo5hIkKfF_HcDaiPesQzujzAGW6jMHgR8OTGB304pLK-8bIC-8tLLN10f1uFr38StBtKKr_XvZy6yYub=w1122-h803-no		https://lh3.googleusercontent.com/zUNCygBEdx2ZGSu_r_N_rWWnhFyemJX223jWoEJoG9RCVeTSbkYcVe5ACKngryCU6ao5izaAsnOuLuuPp-lPrh6CmeEwoXyiTFgrP3cC_JDc0WsBBHARYsJpr301WFSpznZcYlYfF3fB00sBgh_HELS6l7XlzwVeGzXEVuLUhDPX3wLxUnnKA70_iJewDgftBcsnYYMgg7hrGkGxFVcoHfN0nzPZT3WmXPGRja2dqIpUtgbBrBLAOZ6X8WceIcG7Qafe33n0jvKkisQq2JJNME0wbLt-pzZJhQ33C4x7dizXiCaFDfJJ9HIvJq74w8rWAlevzYgg4xMNw-cueAROmtKlty8FqY9PtA3rRRj0bZRPHk_GNWMvIc-x4pPZbHGPThs5KQsy3SpyP0OPpnGhf-VT9QxPyIMKX0P7Hyj88BRh0IKqwZ34i308MkHPKKj03Q-VGj2S84_nUIVC2Bl9aOA0dISxR8UwQHFiuotXzUAJD26DxLDa5vIx2IuQoO2WLZ9dkejqrMKR0RZ308e-XWtrb-6Rm3fklo5hIkKfF_HcDaiPesQzujzAGW6jMHgR8OTGB304pLK-8bIC-8tLLN10f1uFr38StBtKKr_XvZy6yYub=w1122-h803-no
24/09/2016 17:06:03	Ridge Report	Mondays	Start of Lunch	Room 225	Ms. Klokoff	1aroranyl@hdsb.ca	Ridge Report is Iroquois Ridge High School's official online newspaper. Our dedicated team of writers, editors, and photographers work together to create a variety of news content in school events, world news, pop culture and more for the consumption of the Iroquois Ridge student body. If you enjoy writing, reporting, photography, or IT, our door is always open.   To see our online newspaper, check out http://ridgereport.blogspot.ca/	http://3.bp.blogspot.com/--9fU6KrCv6s/ViGKwiLVFHI/AAAAAAAABTY/d5Ux8DtT8Sc/s1600-r/RidgeReportLight-01.png		https://image.freepik.com/free-icon/newspaper-square-rounded-interface-symbol_318-56533.jpg
04/10/2016 18:03:06	Ridge TU20	Thursdays	Start of Lunch	Room 228	Ms. Quesnelle	1irfanibr@hdsb.ca	Are you interested in technology? Ridge Tech Under 20 is a supportive tech/business community of youth under the age of 20. We meet every Friday in room 228 to organize events, workshops, and programs for the tech community. All are welcome! Learn more: http://techundertwenty.com/	https://lh3.googleusercontent.com/1ksTxKzmgtmXk5QtMdVAbKZL8mK8_OOu0mNxrDgwBQZPxSELYIIMnMsUnAmQjLekchZVkrI9ELttaKSkyzLgk0-H6oNe9T5AIyS_VnZmN1P9mZV-9xsgwQPvXS3Tuz9JgGwfj4XfT5O-oZlrvNbFaOxAS9egpfeGnl5v_iQiatKtzNWKOhPhX0yzkKyc6oyZKezC_JdhWv7tq9ivysCm64r17vDu6U8tAoP3NnQLQSvzx9mtY4WWFyGnBsY2u-GcV8w0DDrBqsy9sZ8VNd24zdogmOPzs1HGgS3xNEt8Dgnw_BsyjZNGhAFLErVQuPx00F5NdCLgLsDybSyuvLfNp4vGfiff2GidPxfAMDtNa3NY0nO8MP_sYpEZG9Kevx4zb1poiRg1KcILqrHzKroY275v9ldknq5SWnCdQgh4ASjXrJxQ2fnHPsTg_SzKXBzW7brgLouNfbK1_vRKEpdYRvKugeJF3LW0pNoHV23n5TnS8w5Jm_Bk8i7pFpyXDBI3Ly9A70o6H8WNZn56iy_kw8b-rmtY7XuIg5nUUJD9tfeyrEv_QAhXmJg_sh7hCTJzxXBCA6se4gPseq_j9tRIsBkUpM_t2yzr3FFomG_t1D6FM5S6=s803-no		https://lh3.googleusercontent.com/1ksTxKzmgtmXk5QtMdVAbKZL8mK8_OOu0mNxrDgwBQZPxSELYIIMnMsUnAmQjLekchZVkrI9ELttaKSkyzLgk0-H6oNe9T5AIyS_VnZmN1P9mZV-9xsgwQPvXS3Tuz9JgGwfj4XfT5O-oZlrvNbFaOxAS9egpfeGnl5v_iQiatKtzNWKOhPhX0yzkKyc6oyZKezC_JdhWv7tq9ivysCm64r17vDu6U8tAoP3NnQLQSvzx9mtY4WWFyGnBsY2u-GcV8w0DDrBqsy9sZ8VNd24zdogmOPzs1HGgS3xNEt8Dgnw_BsyjZNGhAFLErVQuPx00F5NdCLgLsDybSyuvLfNp4vGfiff2GidPxfAMDtNa3NY0nO8MP_sYpEZG9Kevx4zb1poiRg1KcILqrHzKroY275v9ldknq5SWnCdQgh4ASjXrJxQ2fnHPsTg_SzKXBzW7brgLouNfbK1_vRKEpdYRvKugeJF3LW0pNoHV23n5TnS8w5Jm_Bk8i7pFpyXDBI3Ly9A70o6H8WNZn56iy_kw8b-rmtY7XuIg5nUUJD9tfeyrEv_QAhXmJg_sh7hCTJzxXBCA6se4gPseq_j9tRIsBkUpM_t2yzr3FFomG_t1D6FM5S6=s803-no
14/09/2016 08:50:55	Ridge United Crew	On need-to bases, mostly active at start of semesters	Still working on dates and times 	204 and staff room	Ms. Panoska 	panoskag@hdsb.ca	Welcoming all new Gr.10-12 students to the school and helping them get integrated. Providing social and academic support to new students. 	https://s-media-cache-ak0.pinimg.com/originals/66/85/db/6685db1794ff1a7b3d64daa868ab6290.jpg		https://s-media-cache-ak0.pinimg.com/originals/66/85/db/6685db1794ff1a7b3d64daa868ab6290.jpg
13/09/2016 15:05:22	Safe Space	We have not yet decided. We are meeting this Thursday to discuss.	Start of Lunch	Room 213	Ms. Grieve	grievec@hdsb.ca	Our club is a safe space for all students to come together and discuss issues related to diversity, gender and sexuality. We will work together to raise awareness surrounding issues that affect the LGBTQ community. 	https://lh3.googleusercontent.com/VHVS11uzHfxjHT5SVT5LvtCY3Owy2-nB6bTdGO0gvUmw09jcsXeKLsLfi3MtqCP6njbcmhVCWxNBNfHIWp9UwUCSCFSwbWRT3mXjeNWD5BXhMoYw8KE1ihrlXYP2IvJVn59WicYqJ_In7B8jIBLay31dHIXJjmjjvprII31-YmFspJAbdcZrCeChgn7yIEDVf4tclEkVRUtFm5RSuLUvSL-D8QQbaxhywz3YV-2LmftEe3_E4HsljdALcOFo9XEhd2WPt0w3_WYRS261OGhqDkeaVTiAvJU6k1qZ3P_jwd_MdtZUmyGqapkjhr176ar8VV72y-sWMiiLiNDFOBliEiI1bC1QYztvfnJErdX9GZPCpDwnigCimH_IFBwkgZ59h_3QGZOfoc2eq-ZddprxJJPf42AWF2NFU-mDzTQaMJcE9FSVInHx-e5ejn07s09T3qf1yP5_UPhSYnJyj3on08lA729PKvON80kTCqnsIolBbiItS7B3nMu0FtX0HEiDXg5SGpPecpe7nzCgFSkjQHJFRmPMnX4lM_MQjuUuW-ZZjsH5ZVwxTjC6J23VN5ngTuMPf1yzm353EssHhFVTLxLPIUNHRU1p7S9tDKLNnKqx6dnR=w1441-h290-no		https://lh3.googleusercontent.com/WVtlDubHPSoqNVFZcpkHdneGnTGQhDaFOT9mtDNgSZp9ySaGj7IuRqHMGuEU9qPokjVRFzwcfxpaTZpValnZuyAlyAUBl9M5lromJ2bwvv6Oz1ooG2DVtSAC8jP2Je3LDFKwYoTm4cTlAr7Q0CCnGdfBImCyAryIEoRwpu2aP8JGbtvBbbOo-elGXolqHEX_RECNmVsDVyHClbZzAaDjPuZ4WpfLjXNLjpqBaAGGTHRJAYiSrZHgRyetXN9klwSt7pdB3EKE1ZBoxgDd6NL7Vn10zyFpuq-5SZhzgMx8SQYZP9WXiwxrIQZedyE2GYVYU4N-PmF6xJXQR_pb_IDZHvIVfjiSnAI0rmHVJb05qBu7GBglnwfClScYtS9MU5X1lgHLy3uZbo-Du5_sR-1MA-RumC0ToRhWaWKaCDkaSpp1LtBn3Vy-5TwOhAQGDpz93L3x1-fwzZW7assSjxr8qkiIdo-MwAT-QtNTPPK_RYoTs2S08ZnBeZ3ddpmS_OdhLhU4cdYLXKV8ZsO7LTY2VjFles3rS1WKlrnaoUhVhdMmaVbUvcJzk3LrldewS8VjE4vUKb6Q7QlU59OFYaczMwIu8AmPAuIp3HGKlWDLDLxEvWyh=w600-h673-no
16/09/2016 12:40:19	Senior Reach (Trivia) Team	Tuesdays	Start of Lunch	Rom 217	Mr. Yull and Ms. Nguyen	yullj@hdsb.ca	This club is all about trivia!  All grade 11 and 12 students are welcome to join.  It's a competitive, but VERY fun group of students who like answering all sorts of trivia questions (like jeopardy).  There are a few Halton-wide competitions throughout the year, and the top Halton team is guaranteed a spot at the provincial finals.  	http://dev.reachforthetop.com/wp-content/uploads/RFTT_2015Transparent250pxv2.png		http://dev.reachforthetop.com/wp-content/uploads/RFTT_2015Transparent250pxv2.png
13/09/2016 20:24:58	Smash Club	Tuesdays, Thursdays	Start of Lunch	Room 144	Mr. Butler	1kimmar1@hdsb.ca	The Smash club is a club where people can play video games while socializing. For those of us who love to play video games, it can feel very isolating not being able to play with other people, so playing together in a competitive multiplayer game (Super Smash Brothers), learning about a new game and meeting new people is a great way to play, especially for grade 9's who are still a bit shy. A casual environment that the Smash club provides allows for less segregation between the grades, as it doesn't matter what your age or grade is when you're playing a game that all can enjoy. If there are enough people who participate, we plan on hosting tournaments in the name of friendly competition and cookies/baked goods (for participants).	http://i.imgur.com/BrJEi35.png		http://img2.wikia.nocookie.net/__cb20140512035133/earthboundla/es/images/a/a9/S%C3%ADmbolo_Smash.png
13/09/2016 12:39:31	Student Council 	Mondays	Start of Lunch	Student Council Room 	Mrs. Morton	mortone@hdsb.ca	Student Council is a representative structure for students only, through which they can become involved in the affairs of the school, working in partnership with school management, staff and parents for the benefit of the school and its students.	https://lh3.googleusercontent.com/jPL7AxeHWAs7V4DIf6YGCW1sCot-ZBqmCnkvywMQVLdih8LBI0bV8gI9ppufsj1QaeGDt1x3YITvOawFLv2Y1BTeBOrv1zIvENmbhSYicXQgMBTg0xr9hdwMeu5iwea0tcSWdM2Jq6p8r9CCNLxIuOrxOvtMKX4hWrf_6Po5SXS9cA7RxOYc2GRWmg4Uc-HJH628DJiGKzcCeuXAsblCBeY9J3kZ9MAbKz402NOLHp0ocmSp5dYcdNtSZOC3VVbc0vvlepLl_byQYd5GZ9KkgKo5Jc9qJgMPvBFeSdQglSWR71KHSZ64sL-MpykTe1mvJczpXYlUDx-AVmS_ssKa1e0kNX7oXHksKo3rabNSpGQ3L_8djbqHtr14iQXzBokS4zAOFtlQdLYbeTamTJFihCqU5ed2PzorWCsl_gKuSHCbU7wobgf1_7XXaWuKOT7N0Fw5EI25d7VfLOZDydhPa687yHdFBI6C6clgcyNCUtFLBGhZTAgHvc212VkrlqTSaLAUPtaGtcvLiJyll0sHl5N164uuRNrm9wZDFUgvD3oizK3sWMD65LN1rYh8XtvXNNpnEmGUvLjOLB_nxoWM2TkD9sF3cDf8abFGM6CbEMtZ54cT=w1024-h768-no		https://www.google.ca/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=0ahUKEwjQrovfw_jVAhWM7IMKHXyEChcQjRwIBw&url=https%3A%2F%2Ftwitter.com%2Firhs_studs&psig=AFQjCNEpa1yWlXhgfx26rBMhAiwwYnPX6w&ust=1503961605140008
24/09/2016 15:51:36	Student Voice	Wednesdays	Start of Lunch	Room 119	Ms. Patterson	1aroranyl@hdsb.ca	Student Voice is dedicated to encouraging Ridge students to become student leaders and to voice their opinions to enrich the school community. We promote student engagement and leadership through our events including the Coffeehouse in November, Grade 8 BRidge Day Conference in April, Leadership Banquet in May, and our bi-monthly Student Trailblazer Achievement Recognition Award program.   To learn more about us, check out our website at http://irhsstudvo.weebly.com/!	https://lh3.googleusercontent.com/V1neS5KvrNfRD06-OiAGtRoeLoDK-h1__g4_kiBRmVLCtTsxSY8IVTnsz-JBkKfJujwgaiitOoGFed7_RgqnLh3WrQBgtkrUMLEKjt0S2_2wTES4vACt0q3WH5ncWKJ6ojLZ52M1QEY4_QEvIFjGn1-QSqCHdjtRpkuzpB9q42uXRVp59_qzLJ7GtbWKrjklhtdVDUt7ABjRg--nqLIwxfyE6tGVbHMDTHZW_xfcG1JHU28Gi9GlttzXML1TIh04yZvOt80uYY_SZROV8yVcOJwRd2J3aF-qA-A_5Qo3m55yuVZDXouChCNBUR5Z1ibuqNA9vUDjB5TUwgm2p8XwyIUPgT41_8R3sji_a18LfTixWHey2OSlOfgbHabACeJ1lE8DgsYI-hzqIGQ_JxHBc3RcRZ1lekIISCR1V-e_4muRcpLTij9q2-7dqe1qpM_MvhGgV4XlKTVwzfVrDqsrQG8lM5aJsFNBjhSWLCC8Geglu6uJ49Ya-fpS3Ft9fFAGnfMmr38JEHEKsovSAQFtlHEZxj9Z6ZfvMwRuxcICLHSsYI7oLvJHnJxbAYK1Z9oKNjTP1cEUIzaIltn4g_pL0K9GXq4QCvKoL493hY11t1_TPVUW=w600-h450-no		http://www.kurunjangsc.vic.edu.au/wp-content/uploads/2014/01/studentvoice.png
13/09/2016 19:07:01	The Green Team	Tuesdays	Start of Lunch	Room 101 (The Career Room on the Street)	Mr. Oak	1zhaorob@irhs.ca	We are the Green Team and our purpose is to promote environmental stewardship at Iroquois Ridge. Join us if you want to learn more about the environment and make an impact!	https://lh3.googleusercontent.com/TBBejIX7IlccgHtKDdf1hoD3EBdvYoo_U8bpF-u3-p7GAQo7TwqmAkRmtBjjiEj906gdcaOPgBmisAKKCSc5bu7kqp6ka7H48kNi1HBWDqHN623zJKgh86EQjH4ugnEXZFEFSdKRrLdpw9iklF9T8cBrvEqrJgibuoExnsZ9Em-CZ2Lh4aIsCaMW1FO1UFTQWqghzA1XH71i7JEMxYsCJ_xP6FgNZfAhLs80HJlOozUfW7DXGeh7sH-HEVZH7shj7GJabJz2aEESu5Dhe2_VL2B6tbf9E0Yv0yrlRasWeOOgEGAvu964T8vW1j4VnRihn7J8qDEAXPqGpGnih8xo-E52xk4ZNDCb-ktTgymwPYyBduW2BSR5pT0gFh8bTmfHQ7V3VO9hcHlJgHpyXhg6q_-uV9yopwiWZHLIjWv3pF9dtHam3T9JZkePPE6WG_yFuZdJPv6MKnNkPTiMAYqgvJ65lxbbAub1lUX4bebluXccosgXBusnPqA2ATUoOSi03zo-__Aw28ISWkq65qMDCfER0yRy05EYLuZSFtjCH63bW67kEvEDpIkISHThspIcFKXYMltifCBOvcOR480u6hglrOMmUOm7t2YmZhiYjJ8e4ciM=w746-h759-no		https://lh3.googleusercontent.com/TBBejIX7IlccgHtKDdf1hoD3EBdvYoo_U8bpF-u3-p7GAQo7TwqmAkRmtBjjiEj906gdcaOPgBmisAKKCSc5bu7kqp6ka7H48kNi1HBWDqHN623zJKgh86EQjH4ugnEXZFEFSdKRrLdpw9iklF9T8cBrvEqrJgibuoExnsZ9Em-CZ2Lh4aIsCaMW1FO1UFTQWqghzA1XH71i7JEMxYsCJ_xP6FgNZfAhLs80HJlOozUfW7DXGeh7sH-HEVZH7shj7GJabJz2aEESu5Dhe2_VL2B6tbf9E0Yv0yrlRasWeOOgEGAvu964T8vW1j4VnRihn7J8qDEAXPqGpGnih8xo-E52xk4ZNDCb-ktTgymwPYyBduW2BSR5pT0gFh8bTmfHQ7V3VO9hcHlJgHpyXhg6q_-uV9yopwiWZHLIjWv3pF9dtHam3T9JZkePPE6WG_yFuZdJPv6MKnNkPTiMAYqgvJ65lxbbAub1lUX4bebluXccosgXBusnPqA2ATUoOSi03zo-__Aw28ISWkq65qMDCfER0yRy05EYLuZSFtjCH63bW67kEvEDpIkISHThspIcFKXYMltifCBOvcOR480u6hglrOMmUOm7t2YmZhiYjJ8e4ciM=w746-h759-no
13/09/2016 19:00:22	The IRHS Loudspeakers 	Tuesdays, Thursdays	After School	Room 225 	Ms. Klokoff 	1huangwen2@hdsb.ca	The loudspeakers is a club that provides three enriching programs giving opportunities and options for all students of IRHS who are interested in improving their public speaking skills. Whether you want to stop mumbling and saying filler words in school presentations or start being recognized for your public speaking skills nationally, we have something for you.	http://www.sbrhsbreeze.org/wp-content/uploads/2015/12/debate.jpg		http://www.sbrhsbreeze.org/wp-content/uploads/2015/12/debate.jpg
